Customer_ID,Age,Gender,City,State,Education,Occupation,Income_Level,Marital_Status,Children,Purchase_Category,Annual_Spend,Loyalty_Score,Membership_Type,Years_as_Customer
C001,28,Male,Mumbai,Maharashtra,Graduate,IT Professional,High,Single,0,Electronics,85000,87,Gold,3
C002,35,Female,Delhi,Delhi,Post Graduate,Teacher,Medium,Married,2,Clothing,42000,72,Silver,6
C003,22,Male,Bangalore,Karnataka,Undergraduate,Student,Low,Single,0,Food & Grocery,18000,45,Basic,1
C004,45,Female,Chennai,Tamil Nadu,Graduate,Doctor,High,Married,3,Healthcare,120000,95,Platinum,10
C005,31,Male,Hyderabad,Telangana,Post Graduate,Engineer,High,Married,1,Electronics,76000,80,Gold,5
C006,52,Female,Pune,Maharashtra,Graduate,Businesswoman,High,Married,2,Jewellery,145000,92,Platinum,14
C007,27,Male,Kolkata,West Bengal,Undergraduate,Sales Executive,Low,Single,0,Food & Grocery,22000,50,Basic,2
C008,40,Female,Ahmedabad,Gujarat,Graduate,Accountant,Medium,Married,2,Home Decor,55000,68,Silver,8
C009,33,Male,Jaipur,Rajasthan,Graduate,Marketing Manager,Medium,Married,1,Clothing,48000,74,Silver,4
C010,29,Female,Lucknow,Uttar Pradesh,Post Graduate,Software Developer,High,Single,0,Electronics,92000,88,Gold,3
C011,48,Male,Surat,Gujarat,Graduate,Businessman,High,Married,3,Jewellery,160000,96,Platinum,12
C012,25,Female,Nagpur,Maharashtra,Undergraduate,Student,Low,Single,0,Books & Stationery,15000,40,Basic,1
C013,38,Male,Indore,Madhya Pradesh,Graduate,Banker,Medium,Married,2,Home Decor,60000,70,Silver,7
C014,44,Female,Bhopal,Madhya Pradesh,Post Graduate,Professor,Medium,Married,2,Books & Stationery,35000,65,Silver,9
C015,30,Male,Patna,Bihar,Graduate,Government Employee,Medium,Single,0,Clothing,32000,58,Basic,3
C016,55,Female,Vadodara,Gujarat,Graduate,Retired,Medium,Married,3,Healthcare,72000,85,Gold,15
C017,26,Male,Ludhiana,Punjab,Post Graduate,Data Analyst,High,Single,0,Electronics,88000,83,Gold,2
C018,42,Female,Agra,Uttar Pradesh,Graduate,Homemaker,Low,Married,3,Food & Grocery,28000,55,Basic,10
C019,34,Male,Nashik,Maharashtra,Graduate,Civil Engineer,Medium,Married,1,Home Decor,52000,69,Silver,5
C020,60,Female,Faridabad,Haryana,Post Graduate,Retired Doctor,High,Married,2,Healthcare,135000,94,Platinum,18
C021,23,Male,Meerut,Uttar Pradesh,Undergraduate,Student,Low,Single,0,Food & Grocery,16000,38,Basic,1
C022,37,Female,Rajkot,Gujarat,Graduate,Interior Designer,Medium,Single,0,Home Decor,64000,77,Silver,6
C023,49,Male,Varanasi,Uttar Pradesh,Graduate,Shopkeeper,Medium,Married,4,Food & Grocery,38000,60,Silver,11
C024,32,Female,Srinagar,Jammu & Kashmir,Post Graduate,Nurse,Medium,Married,1,Healthcare,44000,66,Silver,4
C025,41,Male,Aurangabad,Maharashtra,Graduate,Mechanical Engineer,Medium,Married,2,Electronics,58000,73,Silver,8
C026,28,Female,Dhanbad,Jharkhand,Undergraduate,Receptionist,Low,Single,0,Clothing,24000,48,Basic,2
C027,53,Male,Allahabad,Uttar Pradesh,Graduate,Lawyer,High,Married,2,Books & Stationery,55000,79,Gold,13
C028,36,Female,Ranchi,Jharkhand,Graduate,HR Manager,Medium,Single,0,Clothing,46000,71,Silver,5
C029,24,Male,Coimbatore,Tamil Nadu,Undergraduate,Freelancer,Low,Single,0,Electronics,30000,52,Basic,1
C030,47,Female,Vizag,Andhra Pradesh,Post Graduate,Pharmacist,High,Married,3,Healthcare,98000,89,Gold,10
